ticker,sector,exchange,volume of listed
DTH,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,7471614
DTI,Phát triển và quản lý bất động sản,UPCoM,13488800
DTK,Dịch vụ tiện ích,HNX,682767475
DTL,Nguyên vật liệu,HOSE,61435604
DTP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,16229042
DTT,Nguyên vật liệu,HOSE,8151820
DUS,Dịch vụ chuyên biệt và thương mại,UPCoM,5614300
DVC,Phân phối và bán lẻ hàng lâu bền,UPCoM,10793670
DVG,Nguyên vật liệu,UPCoM,28000000
DVM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,42779916
DVN,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,237000000
DVP,Vận tải,HOSE,40000000
DVW,Tư liệu sản xuất,UPCoM,2345000
DWC,Dịch vụ tiện ích,UPCoM,20172800
DWS,Dịch vụ tiện ích,UPCoM,25918130
DXG,Phát triển và quản lý bất động sản,HOSE,520034667
DXL,Dịch vụ tiêu dùng,UPCoM,3957900
DXP,Vận tải,HNX,59910133
DXS,Phát triển và quản lý bất động sản,HOSE,0
DXV,Nguyên vật liệu,HOSE,9900000
DZM,Tư liệu sản xuất,UPCoM,5395985
E12,Tư liệu sản xuất,UPCoM,1200000
E1VFVN30,Dịch vụ tài chính,HOSE,403000000
E29,Tư liệu sản xuất,UPCoM,5000000
EBS,Truyền thông và giải trí,HNX,10219484
ECI,Truyền thông và giải trí,HNX,1860000
ECO,Nguyên vật liệu,UPCoM,20000000
EFI,Dịch vụ tài chính,UPCoM,10880000
EIB,Tổ chức tín dụng,HOSE,1235522904
EIC,Dịch vụ tiện ích,UPCoM,36677145
EID,Truyền thông và giải trí,HNX,15000000
EIN,Dịch vụ tiêu dùng,UPCoM,45407161
ELC,Dịch vụ viễn thông,HOSE,50928243
EME,Nguyên vật liệu,UPCoM,3780298
EMG,Tư liệu sản xuất,UPCoM,3000000
EMS,Vận tải,UPCoM,20999440
EPC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9388500
EPH,Truyền thông và giải trí,UPCoM,2500000
EVE,Hàng tiêu dùng và trang trí,HOSE,41979773
EVF,Tổ chức tín dụng,HOSE,0
EVG,Phát triển và quản lý bất động sản,HOSE,105000000
EVS,Dịch vụ tài chính,HNX,164800618
FBA,Phân phối và bán lẻ hàng lâu bền,UPCoM,3414900
FBC,Xe và linh kiện,UPCoM,3700000
FCC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5997040
FCM,Nguyên vật liệu,HOSE,41000000
FCN,Tư liệu sản xuất,HOSE,125439005
FCS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,29450000
FDC,Phát triển và quản lý bất động sản,HOSE,38629988
FGL,"Thực phẩm, đồ uống và thuốc lá",UPCoM,14676300
FHN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000
FHS,Phân phối và bán lẻ hàng lâu bền,UPCoM,12751462
FIC,Nguyên vật liệu,UPCoM,127000000
FID,Phân phối và bán lẻ hàng lâu bền,HNX,24715958
FIR,Phát triển và quản lý bất động sản,HOSE,27039864
FIT,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,254730247
FLC,Phát triển và quản lý bất động sản,UPCoM,709997807
FMC,"Thực phẩm, đồ uống và thuốc lá",HOSE,58850000
FOC,Dịch vụ viễn thông,UPCoM,18471275
FOX,Dịch vụ viễn thông,UPCoM,492509164
FPT,Phần mềm và dịch vụ,HOSE,907551649
FRC,Nguyên vật liệu,UPCoM,3000000
FRM,Nguyên vật liệu,UPCoM,11700000
FRT,Phân phối và bán lẻ hàng lâu bền,HOSE,78981792
FSO,Tư liệu sản xuất,UPCoM,5624966
FT1,Tư liệu sản xuất,UPCoM,7079853
FTI,Phát triển và quản lý bất động sản,UPCoM,3943710
FTM,Hàng tiêu dùng và trang trí,UPCoM,50000000
FTS,Dịch vụ tài chính,HOSE,145493097
FUCTVGF3,Dịch vụ tài chính,HOSE,0
FUCTVGF4,Dịch vụ tài chính,HOSE,0
FUCTVGF5,Dịch vụ tài chính,HOSE,0
FUCVREIT,Dịch vụ tài chính,HOSE,5000000
FUEABVND,Dịch vụ tài chính,HOSE,0
FUEBFVND,Dịch vụ tài chính,HOSE,5100000
FUEDCMID,Dịch vụ tài chính,HOSE,10400000
FUEFCV50,Dịch vụ tài chính,HOSE,0
FUEIP100,Dịch vụ tài chính,HOSE,0
