ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ORS,2019,3,0.9643725078,272332200000.0,43960000.0,8.3949168231,2.7612027713,-4.0950980901,478.1449886942675,6423.8662448362,-0.4397372638,0.38661802422297337,0.37660542462659075,0.1346563362,-1.4749302273,0.1278608971,0.269773792399389,-357936297151.0,15056723600.0,24.9374261806,12.3871800568,24.9374261806,-306.09638625002884,1.039462399139029,0.5078066055,52.4066769097,0.0,1.5418543767,0.0,0.0,0.0394623991,0.012893436591929144,0.07225992435446595
ORS,2019,2,1.2542503511,278160000000.0,40000000.0,46.542129123,5.4468377223,11.2044623221,137.2790995,5544.3476605,-0.2413940046,0.36330523754114136,0.21546316393411977,0.0315568303,-1.6802213962,0.018015817,0.21479732534029503,-372602634991.0,5474194820.0,19.9632017827,17.3963373571,19.9632017827,0.0,1.0497459448728232,0.210558311,39.6189635172,0.0,2.1667376259,0.0,0.0,0.0497459449,0.014727244686823333,0.06600418930082336
ORS,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16673213832745515,-0.17705205915843444,0.0,0.0,0.0,-0.6844547843005604,0.0,-2325949468.0,0.0,0.0,0.0,0.0,1.0177665653794177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024670690919689265,0.06436991305674898
ORS,2018,4,4.2190821808,240000000000.0,40000000.0,-13.5055991703,11.6570335644,-0.3795549218,-26.87816525,1422.11024645,-0.1591321543,-26.8575621291612,-0.07716927073484643,-0.1699450753,-6.7896810254,-0.0406058471,-27.010222811181283,-385926904603.0,-376307939803.0,4.3843495277,2.6630936866,4.3843495277,0.0,1.2595022849554236,0.0784084979,31.5421174106,0.0,0.3707168634,0.0,0.0,0.2592916027,0.010516737231793452,0.01691643143965143
ORS,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3385374579104827,0.06726851629187618,0.0,0.0,0.0,0.06427559154012406,0.0,530431774.0,0.0,0.0,0.0,0.0,7.557844426311952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012863595660728977,0.0175482821634182
ORS,2018,2,1.1916369235,69600000000.0,24000000.0,-6.8802202186,4.3429498428,-0.17970573,-431.9503907083333,2433.627175125,-5.8611127609,6.86320063139785,8.594395716913466,0.0,0.0,0.0,8.617843538951949,0.0,-10395092820.0,0.0,0.0,0.0,8722.317959423754,7.573414681785289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009671777905117161,0.017383064546867822
ORS,2018,1,0.8375274948,57600000000.0,24000000.0,-86.2177235757,2.3840919848,-6.2544790567,7.481698125,2865.5775658333,505.6887104458,0.3129371622245707,0.02555147528904931,-0.009770541,-0.01531318,-0.0014759064,-0.014144239294105082,-648490212.0,-99397403.0,1.1645621938,1.0907398921,1.1645621938,0.0,6.589658776173668,0.0533743202,32.2973088681,0.0,0.0,0.0,0.0,5.5896587762,0.009252016367582307,0.020468426840433623
ORS,2017,4,1.0846382149,74400000000.0,24000000.0,-24.8592930351,4.1658465322,440.3518840068,40.799355125,2858.0958677083,-22.8026836294,0.5271049012799248,0.17128646200794495,-0.0426995818,-0.049152661,-0.0065866398,0.15884248000585144,-2853160269.0,908046650.0,1.1633206202,1.0938520389,1.1633206202,0.0,6.612325882439666,0.0393051468,18.4707145807,0.0,0.0,0.0,0.0,5.6116866866,0.010317092535216463,0.02041498609866496
ORS,2017,3,0.887375535,60000000000.0,24000000.0,-6.9469904143,3.9489929287,13.8657489599,-37.82879891666666,2817.2965125833,40.0498936767,0.1590016345979271,-0.20228665881180313,-0.1246334757,-0.1323897467,-0.0190508055,-0.22163665603059635,-8264811894.0,-994736702.0,1.1608169255,1.080614784,1.1608169255,0.0,6.678653574920238,0.033513801,15.5224118587,0.0,0.0,0.0,0.0,5.6786535749,0.01158647945676649,0.02012356191058158
ORS,2017,2,0.7355193804,50400000000.0,24000000.0,-4.3242578183,3.3706721728,8.4157554921,-38.28875825,2855.1253115,31.7338168373,0.14799379741586355,-0.1326412096786339,-0.1630935938,-0.1737150465,-0.0255936178,-0.12515397117214738,-11054094061.0,-867059067.0,1.1627077686,1.1000772891,1.1627077686,0.0,6.600368009889362,0.0328342231,12.9964109545,0.0,2.2831004162,0.0,0.0,5.6003680099,0.012620658941493421,0.020393767823804556
